x	y	clusters
9.80	10.13	Cluster1
10.35	9.77	Cluster1
10.10	9.99	Cluster1
9.73	9.91	Cluster1
9.75	10.43	Cluster1
9.84	9.90	Cluster1
10.24	9.87	Cluster1
9.53	9.86	Cluster1
10.15	9.82	Cluster1
9.34	10.46	Cluster1
9.38	10.21	Cluster1
9.71	10.26	Cluster1
9.64	10.21	Cluster1
9.52	9.96	Cluster1
10.24	9.91	Cluster1
9.40	10.09	Cluster1
10.20	9.75	Cluster1
10.14	9.83	Cluster1
10.06	10.26	Cluster1
10.39	9.98	Cluster1
10.28	10.35	Cluster1
9.71	9.98	Cluster1
9.91	10.59	Cluster1
10.36	9.20	Cluster1
9.95	9.70	Cluster1
9.80	10.38	Cluster1
10.39	10.61	Cluster1
10.41	9.91	Cluster1
10.17	10.60	Cluster1
10.29	9.71	Cluster1
9.93	10.23	Cluster1
10.30	9.95	Cluster1
10.35	9.93	Cluster1
9.85	10.33	Cluster1
10.51	10.50	Cluster1
9.94	9.93	Cluster1
9.92	10.02	Cluster1
9.91	10.61	Cluster1
10.18	9.99	Cluster1
10.26	9.25	Cluster1
12.04	10.03	Cluster1
12.08	10.04	Cluster1
12.40	10.16	Cluster1
11.99	9.93	Cluster1
12.34	9.92	Cluster1
12.23	9.98	Cluster1
12.35	10.49	Cluster1
12.04	9.36	Cluster1
11.74	10.12	Cluster1
12.35	9.80	Cluster1
11.25	10.12	Cluster1
12.28	10.99	Cluster1
12.37	10.02	Cluster1
12.53	10.00	Cluster1
12.27	9.79	Cluster1
12.36	10.18	Cluster1
12.46	10.18	Cluster1
11.95	9.68	Cluster1
11.77	9.92	Cluster1
11.50	10.01	Cluster1
12.13	9.48	Cluster1
11.63	10.29	Cluster1
12.06	9.62	Cluster1
11.91	9.82	Cluster1
11.74	10.29	Cluster1
12.11	10.90	Cluster1
11.59	9.71	Cluster1
12.65	9.81	Cluster1
12.16	11.02	Cluster1
12.22	9.80	Cluster1
11.85	9.63	Cluster1
11.81	10.06	Cluster1
12.10	9.85	Cluster1
11.59	10.08	Cluster1
12.25	9.94	Cluster1
12.00	9.68	Cluster1
11.89	10.01	Cluster1
12.27	9.94	Cluster1
12.18	10.36	Cluster1
12.10	10.39	Cluster1
11.37	11.47	Cluster1
10.94	11.48	Cluster1
11.08	11.55	Cluster1
11.23	11.37	Cluster1
11.22	11.64	Cluster1
10.96	11.75	Cluster1
11.01	11.75	Cluster1
11.52	10.98	Cluster1
11.01	11.36	Cluster1
11.20	11.06	Cluster1
11.63	11.89	Cluster1
11.23	11.73	Cluster1
11.14	11.91	Cluster1
11.11	11.87	Cluster1
11.53	11.92	Cluster1
11.21	11.11	Cluster1
10.75	11.70	Cluster1
11.15	11.69	Cluster1
11.41	11.92	Cluster1
10.95	11.53	Cluster1
10.99	12.30	Cluster1
10.96	11.39	Cluster1
11.66	11.35	Cluster1
11.18	12.06	Cluster1
11.37	11.56	Cluster1
11.26	11.72	Cluster1
11.55	11.58	Cluster1
10.97	11.11	Cluster1
11.12	11.63	Cluster1
11.51	12.05	Cluster1
10.95	11.40	Cluster1
11.86	12.41	Cluster1
11.20	10.85	Cluster1
11.65	11.50	Cluster1
11.25	11.72	Cluster1
11.60	11.89	Cluster1
11.42	11.45	Cluster1
11.31	11.72	Cluster1
10.74	11.68	Cluster1
11.56	11.80	Cluster1
10.03	12.27	Cluster1
9.28	11.98	Cluster1
9.18	11.53	Cluster1
9.95	12.40	Cluster1
9.62	11.56	Cluster1
9.91	11.84	Cluster1
9.07	11.09	Cluster1
10.58	11.35	Cluster1
9.58	12.14	Cluster1
9.62	11.53	Cluster1
9.35	11.71	Cluster1
10.23	11.97	Cluster1
8.99	12.31	Cluster1
9.44	12.11	Cluster1
9.59	12.01	Cluster1
9.67	11.88	Cluster1
9.36	12.01	Cluster1
9.71	11.77	Cluster1
9.99	11.84	Cluster1
9.92	12.03	Cluster1
9.38	12.23	Cluster1
9.81	12.23	Cluster1
9.27	12.15	Cluster1
9.39	11.18	Cluster1
9.28	11.98	Cluster1
9.85	11.63	Cluster1
9.32	11.51	Cluster1
9.72	11.95	Cluster1
9.12	11.76	Cluster1
8.98	12.37	Cluster1
10.07	12.20	Cluster1
9.97	11.82	Cluster1
9.51	11.65	Cluster1
9.70	11.54	Cluster1
9.45	11.96	Cluster1
9.92	11.96	Cluster1
9.96	11.54	Cluster1
9.01	11.74	Cluster1
9.02	11.85	Cluster1
10.30	11.61	Cluster1
7.87	10.84	Cluster1
8.16	10.53	Cluster1
8.21	10.62	Cluster1
8.17	10.70	Cluster1
8.05	10.75	Cluster1
7.98	11.13	Cluster1
8.08	10.99	Cluster1
8.47	11.08	Cluster1
8.49	10.58	Cluster1
8.35	10.38	Cluster1
8.10	10.71	Cluster1
7.88	10.83	Cluster1
7.91	11.35	Cluster1
7.81	10.87	Cluster1
8.28	10.10	Cluster1
8.08	10.68	Cluster1
8.07	10.12	Cluster1
8.12	10.70	Cluster1
8.04	10.79	Cluster1
8.10	10.88	Cluster1
8.12	10.93	Cluster1
8.63	11.12	Cluster1
8.27	10.72	Cluster1
7.62	10.15	Cluster1
8.20	11.40	Cluster1
8.58	11.06	Cluster1
7.94	11.08	Cluster1
8.00	10.57	Cluster1
8.50	11.38	Cluster1
8.12	11.01	Cluster1
7.87	11.30	Cluster1
7.67	10.92	Cluster1
7.97	10.72	Cluster1
7.94	11.00	Cluster1
7.99	11.23	Cluster1
8.16	11.11	Cluster1
8.39	10.77	Cluster1
8.25	10.99	Cluster1
8.29	10.73	Cluster1
8.22	10.32	Cluster1
7.98	9.58	Cluster1
7.88	8.80	Cluster1
8.17	9.01	Cluster1
8.07	9.20	Cluster1
8.42	8.65	Cluster1
8.71	8.46	Cluster1
8.06	8.43	Cluster1
7.30	9.27	Cluster1
8.12	8.61	Cluster1
7.62	9.45	Cluster1
8.09	8.96	Cluster1
8.37	8.97	Cluster1
8.02	9.33	Cluster1
8.32	9.06	Cluster1
7.83	8.95	Cluster1
7.70	8.67	Cluster1
8.24	9.11	Cluster1
8.37	8.90	Cluster1
8.35	8.90	Cluster1
8.05	9.23	Cluster1
7.71	9.54	Cluster1
8.53	8.55	Cluster1
8.00	9.17	Cluster1
8.05	9.20	Cluster1
8.62	9.17	Cluster1
7.78	8.90	Cluster1
8.23	9.04	Cluster1
7.90	9.19	Cluster1
7.87	8.86	Cluster1
7.99	8.95	Cluster1
8.26	9.47	Cluster1
8.09	9.29	Cluster1
8.03	9.79	Cluster1
8.35	9.02	Cluster1
7.85	9.33	Cluster1
8.40	9.37	Cluster1
7.89	8.81	Cluster1
8.20	9.23	Cluster1
7.67	9.03	Cluster1
8.24	9.31	Cluster1
9.43	8.61	Cluster1
10.07	8.19	Cluster1
9.15	8.04	Cluster1
9.66	7.87	Cluster1
9.60	7.87	Cluster1
8.62	8.55	Cluster1
9.33	7.66	Cluster1
9.42	7.83	Cluster1
8.89	8.17	Cluster1
9.39	7.75	Cluster1
9.88	8.05	Cluster1
9.56	7.95	Cluster1
9.22	8.00	Cluster1
9.52	8.28	Cluster1
9.76	7.93	Cluster1
9.57	8.05	Cluster1
9.74	7.55	Cluster1
9.58	8.48	Cluster1
9.36	8.24	Cluster1
9.40	7.79	Cluster1
9.46	8.54	Cluster1
9.48	7.77	Cluster1
8.84	8.02	Cluster1
9.29	8.47	Cluster1
9.27	7.57	Cluster1
9.11	8.01	Cluster1
9.54	7.69	Cluster1
9.43	8.12	Cluster1
9.79	8.07	Cluster1
9.38	7.66	Cluster1
9.40	8.23	Cluster1
9.15	8.16	Cluster1
9.62	8.00	Cluster1
10.29	7.89	Cluster1
9.43	7.68	Cluster1
9.44	8.06	Cluster1
9.79	7.68	Cluster1
9.59	7.91	Cluster1
9.69	7.45	Cluster1
9.58	7.87	Cluster1
11.44	8.69	Cluster1
11.47	8.56	Cluster1
10.67	8.94	Cluster1
11.23	8.13	Cluster1
11.61	8.59	Cluster1
11.59	8.50	Cluster1
11.54	7.59	Cluster1
11.64	8.27	Cluster1
11.16	8.43	Cluster1
10.90	8.53	Cluster1
11.28	8.74	Cluster1
11.25	8.19	Cluster1
10.84	8.22	Cluster1
11.80	8.84	Cluster1
11.51	8.09	Cluster1
10.93	7.80	Cluster1
11.40	8.21	Cluster1
11.09	8.33	Cluster1
11.33	8.17	Cluster1
11.27	8.39	Cluster1
11.59	8.41	Cluster1
11.21	8.52	Cluster1
11.57	8.02	Cluster1
11.25	8.58	Cluster1
11.25	8.57	Cluster1
10.78	8.29	Cluster1
11.04	8.32	Cluster1
11.20	7.89	Cluster1
11.17	8.26	Cluster1
11.88	8.08	Cluster1
11.36	8.59	Cluster1
11.18	8.34	Cluster1
10.84	8.66	Cluster1
11.70	8.91	Cluster1
11.28	8.28	Cluster1
10.72	8.53	Cluster1
10.44	8.68	Cluster1
11.12	8.62	Cluster1
11.39	8.94	Cluster1
11.21	8.31	Cluster1
16.67	9.64	Cluster2
16.16	10.30	Cluster2
16.61	10.22	Cluster2
16.10	9.70	Cluster2
16.40	10.07	Cluster2
15.93	10.11	Cluster2
16.13	9.89	Cluster2
16.41	10.19	Cluster2
15.98	9.92	Cluster2
16.22	10.02	Cluster2
16.30	9.46	Cluster2
16.59	10.17	Cluster2
16.31	10.72	Cluster2
16.28	9.45	Cluster2
16.62	9.65	Cluster2
16.22	9.49	Cluster2
16.63	10.16	Cluster2
16.98	10.60	Cluster2
16.27	10.13	Cluster2
16.20	9.70	Cluster2
16.53	9.78	Cluster2
17.12	9.73	Cluster2
16.47	9.70	Cluster2
16.00	10.28	Cluster2
16.37	9.80	Cluster2
16.27	9.52	Cluster2
16.13	9.75	Cluster2
16.67	10.50	Cluster2
16.49	10.54	Cluster2
16.57	10.21	Cluster2
16.46	10.11	Cluster2
16.48	9.99	Cluster2
16.58	9.75	Cluster2
16.10	9.93	Cluster2
16.23	9.67	Cluster2
16.45	9.57	Cluster2
16.57	9.62	Cluster2
16.44	9.41	Cluster2
16.50	9.98	Cluster2
16.42	9.97	Cluster2
14.36	14.64	Cluster3
14.14	14.63	Cluster3
14.06	15.07	Cluster3
13.69	14.96	Cluster3
14.24	15.30	Cluster3
13.73	15.13	Cluster3
13.95	14.87	Cluster3
13.99	14.77	Cluster3
13.92	15.00	Cluster3
13.87	14.95	Cluster3
14.17	15.28	Cluster3
14.28	15.15	Cluster3
14.10	14.90	Cluster3
13.76	15.21	Cluster3
13.95	14.22	Cluster3
14.13	14.84	Cluster3
13.36	14.93	Cluster3
13.55	14.84	Cluster3
14.13	15.11	Cluster3
13.82	14.60	Cluster3
14.39	14.69	Cluster3
13.79	14.73	Cluster3
