x	y	clusters
1.85	27.80	Cluster0
1.35	26.65	Cluster0
1.40	23.25	Cluster0
0.85	23.05	Cluster0
0.50	22.35	Cluster0
0.65	21.35	Cluster0
1.10	22.05	Cluster0
1.35	22.65	Cluster0
1.95	22.80	Cluster0
2.40	22.45	Cluster0
1.80	22.00	Cluster0
2.50	21.85	Cluster0
2.95	21.40	Cluster0
1.90	21.25	Cluster0
1.35	21.45	Cluster0
1.35	20.90	Cluster0
1.25	20.35	Cluster0
1.75	20.05	Cluster0
2.00	20.60	Cluster0
2.50	21.00	Cluster0
1.70	19.05	Cluster1
2.40	20.05	Cluster0
3.05	20.45	Cluster0
3.70	20.45	Cluster0
3.45	19.90	Cluster0
2.95	19.50	Cluster1
2.40	19.40	Cluster1
2.40	18.25	Cluster1
2.85	18.75	Cluster1
3.25	19.05	Cluster1
3.95	19.60	Cluster1
2.70	17.80	Cluster1
3.45	18.05	Cluster1
3.80	18.55	Cluster1
4.00	19.10	Cluster1
4.45	19.90	Cluster1
4.65	19.15	Cluster1
4.85	18.45	Cluster1
4.30	18.05	Cluster1
3.35	17.30	Cluster1
3.70	16.30	Cluster1
4.40	16.95	Cluster1
4.25	17.40	Cluster1
4.80	17.65	Cluster1
5.25	18.25	Cluster1
5.75	18.55	Cluster1
5.30	19.25	Cluster1
6.05	19.55	Cluster1
6.50	18.90	Cluster1
6.05	18.20	Cluster1
5.60	17.80	Cluster1
5.45	17.15	Cluster1
5.05	16.55	Cluster1
4.55	16.05	Cluster1
4.95	15.45	Cluster1
5.85	14.80	Cluster1
5.60	15.30	Cluster1
5.65	16.00	Cluster1
5.95	16.80	Cluster1
6.25	16.40	Cluster1
6.10	17.45	Cluster1
6.60	17.65	Cluster1
6.65	18.30	Cluster1
7.30	18.35	Cluster1
7.85	18.30	Cluster1
7.15	17.80	Cluster1
7.60	17.70	Cluster1
6.70	17.25	Cluster1
7.30	17.25	Cluster1
6.70	16.80	Cluster1
7.30	16.65	Cluster1
6.75	16.30	Cluster1
7.40	16.20	Cluster1
6.55	15.75	Cluster1
7.35	15.80	Cluster1
6.80	14.95	Cluster1
7.45	15.10	Cluster1
6.85	14.45	Cluster1
7.60	14.60	Cluster1
8.55	14.65	Cluster1
8.20	15.50	Cluster1
7.90	16.10	Cluster1
8.05	16.50	Cluster1
7.80	17.00	Cluster1
8.00	17.45	Cluster1
8.40	18.10	Cluster1
8.65	17.75	Cluster1
8.90	17.10	Cluster1
8.40	17.10	Cluster1
8.65	16.65	Cluster1
8.45	16.05	Cluster1
8.85	15.35	Cluster1
9.60	15.30	Cluster1
9.15	16.00	Cluster1
10.20	16.00	Cluster1
9.50	16.65	Cluster1
10.75	16.60	Cluster1
10.45	17.20	Cluster1
9.85	17.10	Cluster1
9.40	17.60	Cluster1
10.15	17.70	Cluster1
9.85	18.15	Cluster1
9.05	18.25	Cluster1
9.30	18.70	Cluster1
9.15	19.15	Cluster1
8.50	18.80	Cluster1
11.65	17.45	Cluster1
11.10	17.65	Cluster1
10.40	18.25	Cluster1
10.00	18.95	Cluster1
11.95	18.25	Cluster1
11.25	18.40	Cluster1
10.60	18.90	Cluster1
11.15	19.00	Cluster1
11.90	18.85	Cluster1
12.60	18.90	Cluster1
11.80	19.45	Cluster1
11.05	19.45	Cluster1
10.30	19.40	Cluster1
9.90	19.75	Cluster1
10.45	20.00	Cluster1
13.05	19.90	Cluster1
12.50	19.75	Cluster1
11.90	20.05	Cluster1
11.20	20.25	Cluster1
10.85	20.85	Cluster1
11.40	21.25	Cluster1
11.70	20.60	Cluster1
12.30	20.45	Cluster1
12.95	20.55	Cluster1
12.55	20.95	Cluster1
12.05	21.25	Cluster1
11.75	22.10	Cluster0
12.25	21.85	Cluster1
12.80	21.50	Cluster1
13.55	21.00	Cluster1
13.60	21.60	Cluster1
12.95	22.00	Cluster1
12.50	22.25	Cluster0
12.20	22.85	Cluster0
12.70	23.35	Cluster0
13.00	22.70	Cluster0
13.55	22.20	Cluster0
14.05	22.25	Cluster1
14.20	23.05	Cluster0
14.10	23.60	Cluster0
13.50	22.80	Cluster0
13.35	23.50	Cluster0
13.30	24.00	Cluster0
7.30	19.15	Cluster1
7.95	19.35	Cluster1
7.70	20.05	Cluster1
6.75	19.90	Cluster1
5.25	20.35	Cluster0
6.15	20.70	Cluster0
7.00	20.70	Cluster0
7.60	21.20	Cluster0
8.55	20.60	Cluster1
9.35	20.50	Cluster1
8.30	21.45	Cluster0
7.90	21.60	Cluster0
7.15	21.75	Cluster0
6.70	21.30	Cluster0
5.20	21.10	Cluster0
6.20	21.95	Cluster0
6.75	22.40	Cluster0
6.15	22.50	Cluster0
5.65	22.20	Cluster0
4.65	22.55	Cluster0
4.10	23.45	Cluster0
5.35	22.80	Cluster0
7.40	22.60	Cluster0
7.75	22.10	Cluster0
8.50	22.30	Cluster0
9.30	22.00	Cluster0
9.70	22.95	Cluster0
8.80	22.95	Cluster0
8.05	22.90	Cluster0
7.60	23.15	Cluster0
6.85	23.00	Cluster0
6.20	23.25	Cluster0
5.70	23.40	Cluster0
5.10	23.55	Cluster0
4.55	24.15	Cluster0
5.50	24.00	Cluster0
6.10	24.05	Cluster0
6.50	23.60	Cluster0
